                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0381,                 1.3159,                 2.4583,                 1.0421,                0.00519,                      1,                0.61342,                0.39461,                0.00519,                      1,                0.61342,                 0.3384,                 1.1584,                 2.7458,                 4.2024,                  1.354,               0.000835,               0.000835,               0.000835
                     53,                 1.2231,                 1.9789,                 2.1209,                 1.1044,                0.00519,                      1,                0.61342,                0.39461,                0.00519,                      1,                0.61342,                 0.3384,                 1.1584,                 2.7458,                 4.2024,                  1.354,              0.0008317,              0.0008317,              0.0008317
                     54,                 1.1836,                 1.3985,                 2.4158,                 1.1072,                0.81587,                    0.4,                   0.63,                0.38135,                0.81587,                    0.4,                   0.63,                0.35828,                 1.2381,                 2.6213,                  4.146,                 1.3593,              0.0008284,              0.0008284,              0.0008284
                     55,                 1.2833,                 2.0545,                 2.6617,                  1.175,                0.81587,                    0.4,                   0.63,                0.38135,                0.81587,                    0.4,                   0.63,                0.35828,                 1.2381,                 2.6213,                  4.146,                 1.3593,              0.0008251,              0.0008251,              0.0008251
                     56,                0.93671,                 1.5914,                 2.2972,                 1.0107,                 0.8959,                    0.4,                0.57581,                0.36268,                 0.8959,                    0.4,                0.57581,                 0.3812,                 1.2985,                 2.4536,                 3.9899,                 1.3016,              0.0008218,              0.0008218,              0.0008218
                     57,                 1.1318,                 1.6782,                 2.4917,                 1.1313,                 0.8959,                    0.4,                0.57581,                0.36268,                 0.8959,                    0.4,                0.57581,                 0.3812,                 1.2985,                 2.4536,                 3.9899,                 1.3016,              0.0008185,              0.0008185,              0.0008185
                     58,                0.93616,                 1.4755,                 2.4802,                 1.1018,                0.93207,                    0.2,                0.44058,                0.25662,                0.93207,                    0.2,                0.44058,                0.28588,                 1.4291,                 2.9941,                 4.1278,                 1.3271,              0.0008152,              0.0008152,              0.0008152
                     59,                 1.3551,                 1.8295,                 2.1766,                 1.2148,                0.93207,                    0.2,                0.44058,                0.25662,                0.93207,                    0.2,                0.44058,                0.28588,                 1.4291,                 2.9941,                 4.1278,                 1.3271,              0.0008119,              0.0008119,              0.0008119
                     60,                 1.0619,                 1.5029,                 2.3315,                 1.0902,                0.73243,                    0.2,                0.35677,                0.19626,                0.73243,                    0.2,                0.35677,                0.21465,                 1.4507,                 3.3182,                  4.229,                 1.3554,              0.0008086,              0.0008086,              0.0008086
                     61,                 1.2213,                 2.0588,                 2.3201,                 1.1021,                0.73243,                    0.2,                0.35677,                0.19626,                0.73243,                    0.2,                0.35677,                0.21465,                 1.4507,                 3.3182,                  4.229,                 1.3554,              0.0008053,              0.0008053,              0.0008053
                     62,                  1.255,                 1.5084,                 2.8779,                 1.3091,                0.16153,                    0.7,                0.36624,                0.25763,                0.16153,                    0.7,                0.36624,                0.23621,                  1.369,                 2.6583,                 4.0877,                 1.3313,               0.000802,               0.000802,               0.000802
                     63,                 1.0636,                 1.5431,                 2.4274,                 1.1706,                0.16153,                    0.7,                0.36624,                0.25763,                0.16153,                    0.7,                0.36624,                0.23621,                  1.369,                 2.6583,                 4.0877,                 1.3313,              0.0007987,              0.0007987,              0.0007987
                     64,                 1.1479,                 1.4911,                  2.346,                 1.2025,                0.71402,                    0.4,                0.39528,                  0.256,                0.71402,                    0.4,                0.39528,                0.25404,                  1.412,                 2.7805,                  4.038,                  1.464,              0.0007954,              0.0007954,              0.0007954
                     65,                 1.1426,                 1.4774,                  2.724,                 1.2011,                0.71402,                    0.4,                0.39528,                  0.256,                0.71402,                    0.4,                0.39528,                0.25404,                  1.412,                 2.7805,                  4.038,                  1.464,              0.0007921,              0.0007921,              0.0007921
                     66,                 1.0739,                 1.9421,                 2.5486,                 1.1662,                0.74034,                    0.4,                0.45956,                0.29075,                0.74034,                    0.4,                0.45956,                 0.2651,                  1.338,                 2.9258,                 4.0674,                 1.4738,              0.0007888,              0.0007888,              0.0007888
                     67,                 1.2974,                  1.355,                 2.8767,                  1.214,                0.74034,                    0.4,                0.45956,                0.29075,                0.74034,                    0.4,                0.45956,                 0.2651,                  1.338,                 2.9258,                 4.0674,                 1.4738,              0.0007855,              0.0007855,              0.0007855
                     68,                 1.2267,                 1.3329,                 2.2776,                 1.1684,                0.51109,                    0.4,                  0.406,                0.22163,                0.51109,                    0.4,                0.43049,                0.23092,                 1.3994,                 2.9873,                 3.8231,                 1.4959,              0.0007822,              0.0007822,              0.0007822
                     69,                 1.0415,                 1.3484,                 2.7521,                 1.1975,                0.51109,                    0.4,                  0.406,                0.22163,                0.51109,                    0.4,                0.43049,                0.23092,                 1.3994,                 2.9873,                 3.8231,                 1.4959,              0.0007789,              0.0007789,              0.0007789
                     70,                 1.2276,                 1.4686,                   2.38,                 1.2667,                 0.3376,                0.38312,                0.43929,                0.25414,                 0.3376,                0.38312,                0.43929,                0.26338,                 1.2967,                 3.0484,                 3.7715,                 1.3478,              0.0007756,              0.0007756,              0.0007756
                     71,                 1.0327,                 1.3386,                 1.9075,                 1.1115,                 0.3376,                0.38312,                0.43929,                0.25414,                 0.3376,                0.38312,                0.43929,                0.26338,                 1.2967,                 3.0484,                 3.7715,                 1.3478,              0.0007723,              0.0007723,              0.0007723
                     72,                0.94499,                 1.4764,                  1.954,                 1.0692,                0.41452,                0.55375,                0.47056,                0.28995,                0.41452,                0.55375,                0.47056,                 0.3043,                 1.4484,                 2.9614,                 3.8923,                 1.4791,               0.000769,               0.000769,               0.000769
                     73,                 1.1729,                 1.1344,                 2.4473,                 1.2219,                0.41452,                0.55375,                0.47056,                0.28995,                0.41452,                0.55375,                0.47056,                 0.3043,                 1.4484,                 2.9614,                 3.8923,                 1.4791,              0.0007657,              0.0007657,              0.0007657
